model,feature_selection,Genre,Accuracy,Precision,Recall,F1-Score,Support
NeuralNet,lda,Δραματικό Θρίλερ,0.7556742323097463,0.3670886075949367,0.17901234567901234,0.2406639004149378,162.0
NeuralNet,lda,Εποχής,0.7890520694259012,0.44537815126050423,0.36551724137931035,0.40151515151515155,145.0
NeuralNet,lda,Δραμεντί,0.7263017356475301,0.3233082706766917,0.2721518987341772,0.2955326460481099,158.0
NeuralNet,lda,Δράσης,0.8598130841121495,0.42105263157894735,0.5517241379310345,0.47761194029850745,87.0
NeuralNet,lda,Δραματική,0.6568758344459279,0.4356060606060606,0.515695067264574,0.4722792607802875,223.0
NeuralNet,lda,Επιστημονικής Φαντασίας,0.8838451268357811,0.5555555555555556,0.46875,0.5084745762711864,96.0
NeuralNet,lda,Κωμωδία,0.7797062750333779,0.23026315789473684,0.42168674698795183,0.2978723404255319,83.0
NeuralNet,lda,Περιπέτεια,0.8130841121495327,0.4276729559748428,0.5811965811965812,0.4927536231884058,117.0
NeuralNet,lda,Avg/Total,0.7769808201261125,0.4090258073293257,0.41168745896257386,0.40210384171877167,1523.0
NeuralNet,tfidf,Θρίλερ,0.7716955941255007,0.4155844155844156,0.4413793103448276,0.4280936454849498,145.0
NeuralNet,tfidf,Οικογενειακή,0.8851802403204272,0.27848101265822783,0.43137254901960786,0.3384615384615385,51.0
NeuralNet,tfidf,Αισθηματική,0.8010680907877169,0.44,0.5038167938931297,0.4697508896797153,131.0
NeuralNet,tfidf,Φαντασίας,0.8304405874499332,0.49107142857142855,0.44,0.4641350210970464,125.0
NeuralNet,tfidf,Δραματικό Θρίλερ,0.7276368491321762,0.2857142857142857,0.1728395061728395,0.2153846153846154,162.0
NeuralNet,tfidf,Εποχής,0.7716955941255007,0.4097222222222222,0.4068965517241379,0.4083044982698961,145.0
NeuralNet,tfidf,Δραμεντί,0.7356475300400535,0.35507246376811596,0.310126582278481,0.3310810810810811,158.0
NeuralNet,tfidf,Δράσης,0.8544726301735648,0.4051724137931034,0.5402298850574713,0.4630541871921182,87.0
NeuralNet,tfidf,Δραματική,0.6421895861148198,0.4089068825910931,0.452914798206278,0.42978723404255315,223.0
NeuralNet,tfidf,Επιστημονικής Φαντασίας,0.8718291054739653,0.5,0.40625,0.4482758620689655,96.0
NeuralNet,tfidf,Κωμωδία,0.8104138851802403,0.2781954887218045,0.4457831325301205,0.34259259259259256,83.0
NeuralNet,tfidf,Περιπέτεια,0.8117489986648865,0.4240506329113924,0.5726495726495726,0.48727272727272725,117.0
NeuralNet,tfidf,Avg/Total,0.7716824446164596,0.39555053886565583,0.41628365068942874,0.40046321504018495,1523.0
RBF_SVM,lda,Θρίλερ,0.8170894526034713,0.6428571428571429,0.12413793103448276,0.20809248554913296,145.0
RBF_SVM,lda,Οικογενειακή,0.9305740987983978,0.48148148148148145,0.2549019607843137,0.3333333333333333,51.0
RBF_SVM,lda,Αισθηματική,0.8411214953271028,0.59375,0.2900763358778626,0.38974358974358975,131.0
RBF_SVM,lda,Φαντασίας,0.8651535380507344,0.8157894736842105,0.248,0.3803680981595092,125.0
RBF_SVM,lda,Δραματικό Θρίλερ,0.7863818424566088,0.6666666666666666,0.024691358024691357,0.047619047619047616,162.0
RBF_SVM,lda,Εποχής,0.8157543391188251,0.5614035087719298,0.2206896551724138,0.31683168316831684,145.0
RBF_SVM,lda,Δραμεντί,0.0,0.0,0.0,0.0,158.0
RBF_SVM,lda,Δράσης,0.9252336448598131,0.746031746031746,0.5402298850574713,0.6266666666666666,87.0
